title,date_posted,company,company_rating,salary,salary_type,job_type,degree_type,remote,remote_type,city,region,city_lat,city_lng,data_tools,hard_skills,soft_skills,description_kw,description_summ
master data analyst,08-02-2023,Absolute IT Recruitment Specialists,,,,Fulltime,Masters,False,,Tauranga,Bay of Plenty,-37.6858,176.1667,sql,,"reporting,management,communication,administration,relationship management",good. competitive. management. skill. feb. tauranga,tauranga database development administration competitive dairy rate full time contracting 07 feb 2023 68 month contract based tauranga immediate start tauranga based client currently working migration project changed data source simplification reports. note overseas enquiry nonnz resident whereas welcome international enquiry applicant legally entitled work new zealand make available interview new zealand considered advertised positions. organized good time task management skill ability manage multiple priority demand range stakeholders. successful candidate intermediateadvanced sql experience microsoft proficient end user requirement management wide ranging knowledge system tool reporting. apply click apply button include resume cover letter information please call apoorva 07 834 0831
data warehouse analyst,08-02-2023,North Shore/West Auckland,,,,"Fulltime, Permanent",,False,,Auckland City,Auckland,-36.85,174.7833,"qlik,sql",,"business intelligence,reporting,independent,communication,innovative",developing. skill. structures. team. experience. work. data,key responsibility build maintain data structure support district developing information need contribute design standard provide best experience possible information user work analyst team service improve data quality required experience wherescape red development experience extensive tsql skill business intelligence team use qlik sense sql reporting services. health information group looking experienced data warehouse analyst support develop data warehouse environment. rich experience working information reconciling independent system participated creation data warehouse structures. expect see increased opportunity work regionally nationally te whatu os evolves work cloud. selfstarter able work deadline work autonomously posse excellent communication documentation skills
senior consultant  risk remediation  holidays act data  new zealand,,EY,3.9,,,,,False,,Auckland City,Auckland,-36.85,174.7833,"sql server,sql,python","etl,analytics","consulting,organisation,analysis,motivated,training,decision making",proficiency. delivering. work. issue. build. team. data,ey chance build career unique global scale support inclusive culture technology become best version counting unique voice perspective help ey become even better join u build exceptional experience better working world aotearoa new zealand senior consultant risk remediation holiday act data new zealand mā te kahukura ka rere te manu wing bird fly ey believe whoever uniqueness help u stand apart. ey building better working world ey exists build better working world helping create longterm value client people society build trust capital markets. high performing team member holiday act remediation programme identifying issue delivering high quality output using skill knowledge business processsystems data provide practical solution client processing large data set delivering analysis assist decision making. ey. working across assurance consulting law strategy tax transaction ey team ask better question find new answer complex issue facing world today
te ara oranga research  data analyst,11-03-2023,Manukau Institute of Technology,,,,Parttime,,False,,Manukau City,Auckland,-37.0,174.885,power bi,research,"reporting,project management,management,team player,confidence,analysis,research,motivated,presentation",incredible. mōyou. evaluation. apply. student. work. kia,key duty role responsible build research solution meet need tauira stakeholder conduct indepth interview tauira prepare finding external report requirement provide accurate timely research deliverable including qualitative quantitative outcome conducting survey ass support received māoripacific student program ass analyse data providing accurate timely stats programme manager required mōyou te take e uiga ia te oe relevant qualification relation position prior experience conducting research analysis academic environment high degree accuracy attention detail competent analyzing interpreting data power bi tool preparation report presentation ability work autonomously team player fastpaced environment project management experience ability meet deadline confidence te ao maaori andor pasifika world view advantage passionate making difference health sector posse necessary qualification skill encourage apply exciting opportunity. selfstarter passion conducting research analysis health sector kia whiria kia tupono kia rereketia make choice chance make change manukau institute technology exciting 2 year fixed term part time opportunity support evaluation operational reporting requirement te ara oranga project. seeking motivated engaging individual work te ara oranga project supporting māori pasifika health student within tertiary reengagement health workforce pathway programme. e pā ana ki te tūranga tuanga tatara te angaanga role successful candidate monitor support transition graduating student health work force. excited role make difference apply kua herea matou ki te whai te tuturutanga te tiriti waitangi
expressions of interest  data engineer,12-03-2023,EY,,,,"Fulltime, Parttime",Masters,False,,Auckland City,Auckland,-36.85,174.7833,"azure,spark,kafka,powerbi,cloud,aws,cognos","analytics,graph,etl,blockchain,pipeline,ai","reporting,business intelligence,consulting,presenting,leadership,confidence,training,coaching",objectives. year. technology. unique. working. data,qualify role must data pipeline development experience including azure data factory aws kinesis spark ideally 2 year experience migration transformation large complex data set legacy system like teradata cloud platform using azure tool etl tool like datastage ideally 2 year data reporting platform development environment using technology microsoft azure sap bw teradata powerbi cognos previous experience working large data engineering migration programmes. previous experience working data data environment database large data set possibly consulting environment ideally also experience engaging technical nontechnical stakeholder consulting experience background including engaging directly client experience delivery role business intelligence data warehousing big data analytics project salary range role expected nzd 90000 nzd 110000 dependent skill experience. responsibility include developing batch ingestion data transformation routine using etl tool ingestion technique developing realtime ingestion data transformation routine using kafka similar technology migrating data legacy data platform cloud data platform presenting data graph chart table etc. ey chance build career unique global scale support inclusive culture technology become best version counting unique voice perspective help ey become even better join u build exceptional experience better working world opportunity ey dna data advanced analytics capability within ey asiapacific 500 specialist employee working across multiple industry sectors. ey building better working world ey exists build better working world helping create longterm value client people society build trust capital markets
data operations administrator,11-03-2023,Vector NZ,,,,"Fulltime, Fixed term contract",,True,Fully,Wellington City,Wellington,-41.2889,174.7772,,,"management,innovative,flexible,organisation",user. engagement. people. billing. data,involved processing end end billing activity various system managing invoice purchase order sap managing data exception responding enquires shared mailbox internal external customer please note internal title billing operation administrator looking selfstarter manage time well handle deadline pressure multiple task time keen eye detail. data operation administrator fulltime department metering engagement type fixed term employee job description u love working diverse group people putting customer centre enabling choice found right company. want part organisation real tangible purpose vector could place offer fun flexible stimulating work environment full interesting work done smart innovative people. daily task change vary mainly supporting team four area billing operation document management customer liaison data exception management. proud achieved far would want work require assistance accessibility support u application selection process please get touch u 09 978 7792
data collection specialist  horowhenua parttime  remote,11-03-2023,New Zealand Government,,,,Parttime,,True,Fully,,Manawatu-Wanganui,,,,,"literacy,time management,management,organisation,customer service,training,coaching",tuku. interviews. ngo. apply. respondent. life. data. work,nōyou te rourou bring strength strong ability communicate people time optimiser relationship rapport builder attention detail strong customer service focus essential access fast reliable internet service home workrelated activity current full driver licence reliable vehicle comprehensive vehicle insurance flexibility work evening weekend digital technical literacy good time management skill desire learn build knowledge experience te tiriti tikanga te reo te ao māori engagement māori. develop grow career coaching training study support secondment contribute meaningful work make difference people aotearoa 3 extra annual leave day taken christmas office closure see career site benefit network pēhea te tuku tono apply encourage application truly committed diversity inclusion lifting cultural capability. big part role entail field work visiting local home conduct facetoface interview respondent remote work home via phone email schedule visit follow respondent data collection activity dc contribute creation resource information aim improve enhance life nz. learn check list survey remote work requires someone work efficiently must access fast reliable internet current driver license roadworthy vehicle. ko mātou u tatauranga aotearoa stats nz central government employer around 1400 people across aotearoa
data collection specialist  te aroha  matamata parttime  remote,11-03-2023,New Zealand Government,,,,Parttime,,True,Fully,,Waikato,,,,,"literacy,time management,management,organisation,customer service,training,coaching",tuku. interviews. ngo. apply. respondent. life. data. work,nōyou te rourou bring strength strong ability communicate people time optimiser relationship rapport builder attention detail strong customer service focus essential access fast reliable internet service home workrelated activity current full driver licence reliable vehicle comprehensive vehicle insurance flexibility work evening weekend digital technical literacy good time management skill desire learn build knowledge experience te tiriti tikanga te reo te ao māori engagement māori. develop grow career coaching training study support secondment contribute meaningful work make difference people aotearoa 3 extra annual leave day taken christmas office closure see career site benefit network pēhea te tuku tono apply encourage application truly committed diversity inclusion lifting cultural capability. big part role entail field work visiting local home conduct facetoface interview respondent remote work home via phone email schedule visit follow respondent data collection activity dc contribute creation resource information aim improve enhance life nz. learn check list survey remote work requires someone work efficiently must access fast reliable internet current driver license roadworthy vehicle. ko mātou u tatauranga aotearoa stats nz central government employer around 1400 people across aotearoa
data collection representatives,10-03-2023,Programmed,,,,Fulltime,,False,,Auckland City,Auckland,-36.85,174.7833,,,"time management,planning,management,communication,interpersonal communication,confidence,analysis,respectful,data analysis,resilience,training,flexible",wof. apps. employment. visit. background. collection. team. data. survey,want hear strong interpersonal skill excellent time management passion serving community situational awareness perseverance resilience familiarity local area community respect individual right protect data commitment promotion protection others health safety wellbeing also required restricted full driver licence vehicle valid wof registration minimum thirdparty insurance weekend availability tech savvy good level physical fitness right live work aotearoa new zealand criminal background check completed prior offer employment. collection team play critical role sourcing data analysis interviewing household across nation. weekend availability essential contacting people normally home daylight hour week cold calling dark however prearranged visit household allowed safe te mu looking reliable responsible people sense civic duty part national project. te tnga role part pe collection team going community interview selected household gather information number occupant name age normally live whether overseas census. pe nationwide survey quality check completeness 2023 census
data entry administrator,11-03-2023,Randstad,,,,Fixed term contract,,True,Fully,Wellington City,Wellington,-41.2889,174.7772,excel,,"data entry,customer service,communication",processing. environment. fill. data. team. work,looking computer savvy individual fill 2 month full time vacancy assisting payroll company within onboarding team. interested data process customer service would love work relaxed environment ability work home want hear role train learn job using computer administrative skill assist onboarding new company system. key activity include data entry processing formatting using microsoft excel data transfer customer communication working within team skill experience love working computer data teach rest following attribute also helpful good mathematical skill strong ability follow instruction eye detail process experience using excel work well within team environment recent education accounting business highlight temporary position soon possible start work home flexibility competitive hourly rate would like know opportunity please click apply randstad passionate providing equal employment opportunity embracing diversity benefit actively encourage application background. 
data entry operator,11-03-2023,Randstad,,,,Permanent,,False,,Wellington City,Wellington,-41.2889,174.7772,excel,,"management,data entry,motivated,flexible",background. love. experience. full. information. team,looking self starter fill temporary full time vacancy assisting information management company within resource team. interested process would love work unique teambased environment want hear role train learn job using computer scanner input data large information storage system. key activity include data entry processing formatting using microsoft excel reading information quality checking working within team manual handling file skill experience motivated individual ability perform administrative task teach rest following attribute also helpful strong ability follow instruction eye detail process experience using excel work well within team environment highlight earn living wage temporary position soon possible start flexible start time ability grow within company would like know opportunity please click apply randstad passionate providing equal employment opportunity embracing diversity benefit actively encourage application background. 
lead data engineer,11-03-2023,Westpac,,,,Permanent,,False,,Auckland City,Auckland,-36.85,174.7833,"python,spark,hadoop,cloud,scala","etl,pipeline","organisation,team player,flexible",recognises. insight. school. apply. programming. lead. experience. data,lead data engineer new12619 mō te tūranga role lead data engineer build manage support data pipeline continue enhance customer experience next generation technology. market leading superannuation kiwisaver option environmental community care programme staff matching gift matching donation charity ko mātou tēnei organisation westpac new zealand purpose help new zealander succeed igniting financial possibility customer community whole country. furthermore lead data engineer working building reusable pattern used building data products. knowledge understanding programming language allow understand pull timely relevant insight data asset working crossfunctional team across westpac. westpac hei wāhi mahi working westpac support flexibility career advancement passionate people take pride building team reflect diversity communities
data repair officer,11-03-2023,Programmed,,,,Fixed term contract,,False,,Auckland City,Auckland,-36.85,174.7833,,,"work ethic,motivated,energetic,team player",processing. mtou. apply. officer. data. work. team,responsibility include checking validating data accordance standard operating procedure using webbased app review handwritten response subjectively making decision based handwriting repairing data within agreed timeframe service level agreement engaging internal stakeholder working collaboratively resolve issue te mu available work full time end june 2023 day evening shift available attention detail highquality output digital technically savvy comfortable working kpis deadline energetic outgoing person organised manage time well team player enjoys working team mtou u timg partnered persolkelly recruit best candidate processing operation team. 27 28 per hour shift available suit lifestyle monday friday east tamaki location parking work one new zealand significant project work available june 2023 te tnga role purpose data repair officer role timg help process estimated 7 million completed census form within agreed timeline quality standards. looking motivated dedicated people join team positive outlook great work ethic. data repair officer critical ensuring census form corrected processed time. nau mai uru mai sound like ready next challenge apply join inclusive culture part great team working collaborative environment
senior advisor level 2 data and information,11-03-2023,"Ministry of Business, Innovation & Employment",,,,"Fulltime, Permanent",,False,,Wellington City,Wellington,-41.2889,174.7772,,ai,"management,communication,organisation,writing,innovative,interpersonal communication,flexible",rōpū. commitment. skill. difference. lead. ngā. māori. data,e whai tonu ana mātou ki te kōtui atu ki ngā iwi mō te rapu huarahi hou ki te whakaara ngā kaupapakua roa nei e tāmi ana ngāi māori aotearoa whānui ā e whai ana hoki ki te tautohu ngā āheinga kōkiritanga mā ngā iwi te tautoko ngā iwi kia whai mana ake ai ēnei āheinga. e mōhio ana hīkina whakatutuki puea ake te kōtuinga waenganui ngāi māori te karauna te tiriti waitangi ā kei te whai ia ki te whakaū ake te tiriti waitangi. date 10mar2023 location wellington nz 6011 discover career purpose mbie could lead work make real difference people want join dynamic futurefocused engaging inclusive team look ahead work across mbies group enable uplift data knowledge capability salary range 103290 132417 wellington cbd wellness benefit kiwi saver tēnei tūranga role ministry business innovation employment mbie exciting opportunity innovative senior advisor level 2 data information capability join data strategy knowledge branch. mā te whai kiko ngā kōtuinga ahungaroa ngāi wi ngāi māori ētahi atu rōpū māori ki te karauna katutuki tēnei. experienced senior advisor lead initiative solve mbie challenge champion smart use data grow ministry maturity data knowledge provide new innovative way people grow data knowledge capability
manager data and analytics,11-03-2023,New Zealand Government,,,,Fulltime,,False,,Wellington City,Wellington,-41.2889,174.7772,,analytics,"people management,collaboration,management,communication,leadership,data management,organisation,data analysis,analysis,motivated",successful. day. opportunity. angitūtanga. role. eeca,addition provide following free medical insurance southern cross three extra day leave per year called eeca day access great wellutilised social club excellent working environment tightknit collaborative passionate work culture read eeca energy efficiency conservation authority eeca tono ināianei apply interested learning role involves please see position description below. g statistic computer science engineering adjacent field strong people management leadership skill understanding best practice data management capability contribute responsibility alongside team excellent communication collaboration skill connect team across beyond organisation ngā āhuatanga kei mātou offer important opportunity join government agency strong focus delivery meaningful work motivated people tangible impact life new zealanders. role responsible supporting team ensure effective data management practice provide data analysis modelling relating eecas work programme ensuring make informed decision based robust evidence. angitūtanga opportunity energy efficiency conservation authority eeca crown entity whose purpose mobilise new zealander world leader clean clever energy use. addition team responsible energy end use database eeca new zealand energy scenario timesnz 2
data repair officer  evening role,11-03-2023,Programmed,,,,Fixed term contract,,False,,Auckland City,Auckland,-36.85,174.7833,,,"work ethic,motivated,energetic,team player",processing. mtou. apply. officer. data. work. team,27 per hour 4pm midnight monday friday east tamaki location parking available work one new zealand significant project work available end june 2023 te tnga role purpose data repair officer role timg help process estimated 7 million completed census form within agreed timeline quality standards. responsibility include checking validating data accordance standard operating procedure using webbased app review handwritten response subjectively making decision based handwriting repairing data within agreed timeframe service level agreement engaging internal stakeholder working collaboratively resolve issue te mu available work full time end february mid june 2023 4. 00pm midnight attention detail highquality output digital technically savvy comfortable working kpis deadline energetic outgoing person organised manage time well team player enjoys working team mtou u timg partnered persolkelly recruit best candidate processing operation team. looking motivated dedicated people join team positive outlook great work ethic. data repair officer critical ensuring census form corrected processed time
senior advisor level 2 data and information,11-03-2023,New Zealand Government,,,,Fulltime,,False,,Wellington City,Wellington,-41.2889,174.7772,,ai,"management,communication,organisation,writing,innovative,interpersonal communication,flexible",successful. continuous. grow. kiwi. difference. lead. ngā. work. mbie. data,e whai tonu ana mātou ki te kōtui atu ki ngā iwi mō te rapu huarahi hou ki te whakaara ngā kaupapakua roa nei e tāmi ana ngāi māori aotearoa whānui ā e whai ana hoki ki te tautohu ngā āheinga kōkiritanga mā ngā iwi te tautoko ngā iwi kia whai mana ake ai ēnei āheinga. discover career purpose mbie discover career purpose mbie could lead work make real difference people want join dynamic futurefocused engaging inclusive team look ahead work across mbies group enable uplift data knowledge capability salary range 103290 132417 wellington cbd wellness benefit kiwi saver tēnei tūranga role ministry business innovation employment mbie exciting opportunity innovative senior advisor level 2 data information capability join data strategy knowledge branch. e mōhio ana hīkina whakatutuki puea ake te kōtuinga waenganui ngāi māori te karauna te tiriti waitangi ā kei te whai ia ki te whakaū ake te tiriti waitangi. mā te whai kiko ngā kōtuinga ahungaroa ngāi wi ngāi māori ētahi atu rōpū māori ki te karauna katutuki tēnei. experienced senior advisor lead initiative solve mbie challenge champion smart use data grow ministry maturity data knowledge provide new innovative way people grow data knowledge capability
data migration lead,10-03-2023,Power It services,,,,"Fulltime, Permanent",,False,,Auckland City,Auckland,-36.85,174.7833,"sql,snowflake",,"writing,consulting",kindly. number. top. service. data. client,role data migration leadjob type fixed term permanentlocation auckland new zealand job description technical skill 810 year experience dealing high volume data design data flow optimize performance must data migration experience able use sql connect team well sap migration experience data quality framework good experience snowflake syniti strong knowledge writing sqls experience working across team operating agile scrum culture experience continuous delivery using agile technique firm sense accountability ownership passionate making thing better driving action desire understand business user work experience retail domain preferrable hiring data migration lead opportunity client australia. u providing recruitment service consulting service tier1 multinational client covering following major domain limited banking financial service insurance retail airline automotive energy consumer sector client client tier1 system integrator global leader providing services. opportunity client engaged u provide recruitment service identify suitable profile within given budget following fulltime permanent opportunities. client clientele number australia new zealand biggest company recognized top employer brand. client australia linkedin top 25 company top employer 4 consecutive years
contract senior test analyst  data,11-03-2023,Consult Recruitment,,,,Fixed term contract,,False,,Auckland CBD,Auckland,,,,etl,"innovative,motivated,energetic,flexible",sap. cbd. reputation. highly. project. working,seeking energetic highly motivated experienced senior test analyst good technical skill initial 6month contract plenty work beyond work complex integration project insurance domain flexible working arrangement team innovative collaborative built strong reputation highly desirable place work. nz 021 124 2749 refmm3616019 initial 6month contract plenty work beyond work complex integration project flexible working arrangement job detail job id jid 4060706 location auckland cbd category digital testing type contract temporary. need succeed minimum 5 year working test analyst must worked data migration project past must worked etl tool past previous experience integration testing project end end testing across enterprise systems. brand want cv project want involved killer opportunity testing guru make difference need someone enjoys working complex high pace environment working data integration migration projects. exposure sap gentrack environment previous background working automation tool exceptional relationshipbuilding skill including working alongside key project vendor please reach miguel montanez would like hear detail miguelconsult
senior data technician,11-03-2023,Talent Propeller,,,,Fulltime,,False,,Auckland City,Auckland,-36.85,174.7833,,research,"reporting,organisational,planning,management,communication,leadership,energetic,risk management,team player,research,customer service,motivated,flexible,negotiation",dtx. add. management. technology. work. installation. business. experience,reporting service manager senior data technician promote company professional positive manner lead mentor direct report foster motivation commitment within team explore new avenue business advise manager potential opportunity within timely manner research develop opportunity within datatelecommunications field allowing growth within business new existing client actively participate valued member datatech team undertaking installation programming maintenance service work including security access control surveillance system vast range commercial industrial residential project ensure installation meet highest quality industry standard comply applicable legislation company policy swps build strong long term relationship customer ensuring see caldwell levesque limited preferred supplier excellent customer service technical support successful candidate require following qualification experience skill demonstrated experience skill relevant trade area required hold certificate telecommunication technology related field minimum 5 year experience telecommunication technology associated activity current new zealand security licence coa advantage hold current unrestricted nz driver licence knowledge appropriate industry rule regulation knowledge telecommunication knowledge health safety regulatory requirement safe work practice experience running small team technician capable reading understanding technical drawing keeping accurate information installed service documenting built drawing experience installation terminating testing cat. 6a copper cabling experience installation terminating testing os2 om4 om5 fibre cabling experience setting using fluke dtx test equipment copper fibre commscope certification structured cabling infrastructure fibre optic infrastructure systimax installation maintenance experience working data centre environment move add change occupied office installation av equipment including large screen speaker audio amplifier excellent customer service orientation strong communication negotiation skill written oral ability drive projectprogramme concept planning completion meeting time quality monetary requirement strong planning scheduling organisational skill thorough demonstrated understanding process system needed management safe working environment must selfstarter demonstrating energetic conscientious attitude motivated focused deliverable customer satisfaction efficient use time resource computer proficiency m office application flexible attitude approach work follow organisational business policy procedure horizon energy group take pride commitment health safety stakeholder base activity safety leadership risk management worker participation. auckland full time permanent role 40 hour per week career development great working environment competitive remuneration caldwell levesque limited based auckland member horizon energy group offering professional electrical communication service auckland regional market public private sectors. support excellent communication problem solving skill sound industry product knowledge safety focussed time posse high degree initiative able think clearly pressure team player. offer supportive collaborative working environment competitive remuneration additional employee benefit including paid birthday leave life critical illness cover
business analyst  data modeller,11-03-2023,New Zealand Government,,,,Fulltime,,False,,Wellington City,Wellington,-41.2889,174.7772,"azure,cloud,rpython,tableau","etl,visualization,dashboard,analytics","reporting,management,planning,data management,organisation,analysis,business analysis,presentation,flexible",stakeholder. group. collection. experience. business. data,advanced knowledge experience visual data presentation reporting dashboarding knowledge etl method tool azure cloud rpython data wrangling tableau meticulous planning organisation skill able successfully manage multiple initiative simultaneously delivering customer expectation experience engaging diverse range people different level organisation professional collaborative manner. team curate data various source hl7 message survey social medium health record various health data collection system government nongovernment data collection repositories. te tūnga role looking business analyst data modeller join data informatics team sits health environment business group. team focus real time data duration data visualization importantly translation data new visuals tool insight relevant public health surveillance. kia angitu koe successful role previous experience business analysis ability differentiate connect business problem business requirement benefit outcomes
kaiwhakahaere matua  ngā ratonga matihiko  general manager  data services,11-03-2023,Statistics New Zealand,,,,"Fulltime, Fixed term contract",,False,,Wellington City,Wellington,-41.2889,174.7772,,research,"reporting,management,leadership,organisation,analysis,research",grow. customised. iwi. ngā. full. secondment. key. work. leadership. data,therefore skill set balance personal attribute leadership experience exception leader people leader strategic thinker authentic relationship builder ability influence senior level enjoy collaborating connecting leader technical expert internally externally real people person thrive supporting staff develop grow pēhea te tuku tono apply encourage application truly committed diversity inclusion lifting cultural capability. data service provide access critical data asset used researcher iwi māori organisation government agency nongovernment organisation others involved data system. reference 8820 posted 10 mar 2023 close 26 mar 2023 2355 location wellington expertise data insight analysis customer reporting data standard statistical design job level management executive work type fixed term fulltime. data service branch leadership role across data system improve quality key datasets used research policy evaluation advice government. critical part data system leadership senior leadership team contribute strongly broader system leadership role
data  systems analyst,14-03-2023,ICE BASE,,70000.0,year,,Masters,False,,Auckland City,Auckland,-36.85,174.7833,python,research,"navigation,reasoning,networking,consulting,collaboration,communication,organisation,analytical,research",gps. future. ability. career. professional,opportunity delivered ice early career community programme mean access great employer partner offer meaningful professional career pathway industry stem marketing advertising accounting financial service tech law professional service ability network growthminded young professional aotearoa new zealand future leaders. working part crossfunctional team contributing teammate success encouraging collaboration task sharing finally startup rolling sleeve helping whatever required succeed mission knowing whole organisation looking strong experience python datawrangling package evidencedbased reasoning decisionmaking ability make tradeoff realworld constraint strong analytical skill break complex problem manageable component draw useful conclusions. phoenix generation career pathwayfocused community programme migrant 1st generation refugee student graduate young professional identify within middle eastern latin american african asian continental european ethnic community aotearoa new zealand. communicating engineering team gather relevant information problem clearly relay information technical nontechnical audiences. ability quickly explore solution using various mean including consulting relevant expert exploring research paper performing calculations
data analyst,15-03-2023,Ministry of Education NZ,,,,"Fulltime, Permanent",,False,,Auckland City,Auckland,-36.85,174.7833,,ai,"organisational,planning,communication,leadership,organisation,analytical,analysis,interpersonal communication,decision making,flexible",level. participate. mātauranga. work. education,take responsibility specific project produce high quality analysis participate project identified provide effective analytical support ensure assigned work completed specified timeframes monitor progress emerging issue risk difficulty associated project demonstrate knowledge willingness gain understanding te ao māori promote tikanga te reo māori. information position please read attached job description also offer flexible working arrangement everyone feel valued supported range employee network group inclusive environment encourages personal cultural competency journey development learning including mentorship programme internal secondment wellness initiative support overall health wellbeing mōhou ake successful role following capability competency proven ability use data insight identify trend risk opportunity influence guide organisational systemlevel decision making. data analyst permanent fulltime 2 role auckland southsouth west auckland northwest salary band 67859 82939 mea tārai e mātou te mātauranga kia rangatira ai kia mana taurite ai ōna huanga work shape education system delivers equitable excellent outcome organisation made talented committed people around aotearoa wide range background cultures. additional information change embarking please visit te pūtake te kawenga purpose role te mahau te tai raro north frontline group. mātau rōpū ake ministry group team te tāhuhu te mātauranga work provide service support nationally regionally locally education sector case directly ākonga whanau
data engineer,14-03-2023,ICE BASE,,80000.0,year,,Masters,False,,Auckland City,Auckland,-36.85,174.7833,"sql server,sql","etl,pipeline,analytics","written communication,reporting,networking,planning,communication,analytical,analysis",csv. meet. high. apis. source. professional. data,day day design develop test deploy necessary data object required data integration analytics design develop maintain data modelsin operational data store data warehouse support existing data workflowspipelines facilitates data integration apis support solution design developing integrating data workflow different source using etl process design develop maintain data solution necessary rpa process bring role least 3 year experience similar role database developer along strong understanding relational database data warehouse design data integration. since role heavily involved reviewing database change ongoing scheduled process ensure optimal performance well providing technical input data schema database design workshop business technical stakeholder superior verbal written communication skill plus excellent business process analysis documentation put heavy use. highlevel skill database design development using microsoft sql server combined etlssis using various data source api txt csv working knowledge data apis method procedure contribute growth role. role data engineer develop data integration data warehousing reporting solutions. primarily responsible preparing data analytical operational us building data pipeline bring together information different source system facilitate integration downstream systems
data analytics specialist,,Westpac,,,,Permanent,Masters,False,,Auckland City,Auckland,-36.85,174.7833,"google analytics,powerbi,python","hypothesis,analytics","reporting,management,communication,organisation,analytical,verbal communication",powerbi. apply. group. development. business. data,nā tāyou rourou bring 3 year analytical experience data model reporting package specifically powerbi analysing large datasets building automating operationalising wellgoverned highly engaging data visualisation m power platform including powerbi power automate m sharepoint google analytics powershell python preferred effectively use workflow knowledge management tool contributing ongoing development wnzls knowledge ip documentation code active knowledge sharing communication skill excellent written verbal communication skill ability explain complex idea simply stakeholder drive learn master new technology technique strong attention detail ability organise task manage time consistently deliver timely way westpac hei wāhi mahi working westpac well immersing supportive team environment offered best banking lifestyle benefit market along 4 week standard holiday 5 additional day wellbeing leave support best additional purchased leave option 4 week per year banking benefit insurance discount superannuation scheme career growth promote internal capability programme recognise star performer generous parental leave topup government paid parental leave school holiday subsidy help balance work family school holiday environmental community care programme ko mātou tēnei organisation westpac new zealand purpose working partnership build fairer stronger new zealand westpac people customer community together greater make u unique people lucky enough walk door every day. analyse data many different source drive optimisation improvement service product development marketing technique business strategy delivery understanding key business outcome contributing proactively demonstrate datadriven insight support development hypothesis discovery decision execution value customers. data analytics specialist auc12036 data analytics specialist purpose role provide data modelling visualisation enterprise service group. mō te tūranga role participating business discussion ensure datadriven approach endtoend supporting awareness understanding power data creating strong point difference business. mahi tahi tātou kaha ake tātou together greater job information technology primary location auckland region employee status permanent schedule fulltime posting date 14032023 94719 pm closing date 14042023 85900
data specialist,16-03-2023,Christchurch City Council,,,,"Fulltime, Permanent",,False,,Christchurch,Canterbury,-43.5309,172.6365,sql,,"management,leadership,data management,organisation,innovative,decision making",fme. synonymous. apply. experience. council. team. data,successful role good understanding passion data management quality ability discern document customer requirement manage perform data transformation integration internal external data source develop run quality assurance process ensure data fit purpose meet legislative requirements. seeking data specialist skill data management automation migration customer relation join highly skilled diverse team responsible ensuring council meet corporate data management responsibilities. role responsible working organisation data steward ensure data management process governance place facilitate efficient reliable data collection. seeking dynamic individual leadership technical skill take role data specialist data management team. role council job opportunity make thing happen city dedicated join team inspired people work community serve result success share together
data warehouse developer,16-03-2023,Auckland Council,,,,,,False,,Auckland City,Auckland,-36.85,174.7833,,etl,"business intelligence,collaboration,organisation,verbal communication,flexible",grow. development. methodology. opportunity. business. data,data warehouse developer opportunity working closely business unit across council well ict support team deliver agile business intelligence bi data warehousing solutions. 3 year proven experience working complex bi data engineering environment expert knowledge coding etl data tool data platforms. analyse business requirement business process modellingmapping data warehouse solution design build using kimball methodology data warehouse operations. offer work collaborative team passion data grow develop skill even auckland council large organisation variety product service mean get exposure project data set like nowhere else. application close 1st april 2023 auckland council equal opportunity employer eoe committed providing working environment embrace value diversity inclusion
data analyst,14-03-2023,Robert Walters,,,,"Fulltime, Parttime, Permanent",,False,,Wellington City,Wellington,-41.2889,174.7772,excel,,"reporting,communication,interpersonal communication,organisation,analytical,analysis,resilience,flexible",capability. allocating. week. inclusion. programme,role support team shaping programme line international best practice investor expectation evaluating selecting expenditure inclusion programme allocating bond proceeds expenditure reporting market programme outcome including environmental impact supporting crossagency governance group senior official developing delivering reporting advice evaluation programme minister crossagency governance group building effective enduring relationship senior stakeholder including minister public sector chief executive chief financial officer sustainable finance sector building support programme inside outside government managing overseeing operational delivery programme managing risk ō pūmanawa looking selfstarter initiative work independently drive outcome strong quantitative analytical skill including high competence excel proven ability develop deliver highquality insightful analysis capability present conclusion dense data accessible way good interpersonal communication skill resilience ability operate effectively fastpaced changeable ambiguous environment appreciation diversity inclusion value different perspective experience. ko ngā hua offer opportunity work supportive highperforming organisation internal opportunity across organisation environment excellence recognised staff encouraged develop talent potential workplace value diversity inclusion recognises value lived experience flexible work arrangement staff work anywhere new zealand encouragement enjoy positive worklife balance range health wellbeing initiative 5 week annual leave permanent fulltime employee prorated parttime employees. exciting opportunity analyst wellknown goverment organisation work data reporting environmental outcomes. includes developing publishing inaugural public reporting environmental outcomes. role contribute development implementation green bond programme
